Route,Direction,Weekday,Service Day,Branch,Month,Hour,Average Headway,Actual Gap,Additional Time due to Missing Service,% Additional Time due to Missing Service,Waiting Time as Experienced,Additional Time due to Bunching,% Additional Time due to Bunching,Schedule Adherence,Dwell Time at Stops,Stops Served,Total Dwell Time,Branch_Direction,Weekday_Hour,previous_bus_delay
2-Fairview,East,Sunday,Reduced service,2 Lacewood Terminal,February,13,1789,1801,12,0.01,1802,1,0.0,131,6,139,834,2 Lacewood Terminal_East,Sunday_13,62.0
2-Fairview,East,Sunday,Reduced service,2 Lacewood Terminal,February,14,1808,2311,503,0.28,2322,11,0.01,167,2,105,210,2 Lacewood Terminal_East,Sunday_14,131.0
2-Fairview,East,Sunday,Reduced service,2 Lacewood Terminal,February,15,1796,1815,19,0.01,1875,60,0.03,598,3,118,354,2 Lacewood Terminal_East,Sunday_15,167.0
2-Fairview,East,Sunday,Reduced service,2 Lacewood Terminal,February,16,1791,1799,8,0.0,1807,8,0.0,-14,3,91,273,2 Lacewood Terminal_East,Sunday_16,598.0
2-Fairview,East,Sunday,Reduced service,2 Lacewood Terminal,February,17,1773,2523,750,0.42,2540,17,0.01,-58,3,158,474,2 Lacewood Terminal_East,Sunday_17,-14.0
2-Fairview,East,Sunday,Reduced service,2 Lacewood Terminal,February,18,1781,1798,17,0.01,1808,10,0.01,53,4,165,660,2 Lacewood Terminal_East,Sunday_18,-58.0
2-Fairview,East,Sunday,Reduced service,2 Lacewood Terminal,February,19,1776,1815,39,0.02,1871,56,0.03,-16,5,134,670,2 Lacewood Terminal_East,Sunday_19,53.0
2-Fairview,East,Sunday,Reduced service,2 Lacewood Terminal,February,20,1778,1784,6,0.0,1818,34,0.02,145,5,138,690,2 Lacewood Terminal_East,Sunday_20,-16.0
2-Fairview,East,Sunday,Reduced service,2 Lacewood Terminal,February,21,1778,1810,32,0.02,1819,9,0.01,664,3,151,453,2 Lacewood Terminal_East,Sunday_21,145.0
2-Fairview,East,Sunday,Reduced service,2 Lacewood Terminal,February,22,1818,1834,16,0.01,1870,36,0.02,-9,2,145,290,2 Lacewood Terminal_East,Sunday_22,664.0
2-Fairview,East,Sunday,Reduced service,2 Lacewood Terminal,February,23,1828,1873,45,0.02,1891,18,0.01,124,2,109,218,2 Lacewood Terminal_East,Sunday_23,-9.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,5,921,934,13,0.01,969,35,0.04,10,5,198,990,2 Water St Terminal Via North_East,Monday_5,470.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,6,879,900,21,0.02,934,34,0.04,135,2,153,306,2 Water St Terminal Via North_East,Monday_6,10.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,7,577,859,282,0.49,1000,141,0.24,319,12,279,3348,2 Water St Terminal Via North_East,Monday_7,135.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,8,574,610,36,0.06,799,189,0.33,507,10,354,3540,2 Water St Terminal Via North_East,Monday_8,319.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,9,578,600,22,0.04,849,249,0.43,229,9,261,2349,2 Water St Terminal Via North_East,Monday_9,507.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,10,930,970,40,0.04,1008,38,0.04,-47,5,188,940,2 Water St Terminal Via North_East,Monday_10,229.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,11,889,889,0,0.0,898,9,0.01,-19,3,222,666,2 Water St Terminal Via North_East,Monday_11,-47.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,12,930,1671,741,0.8,1720,49,0.05,10,5,298,1490,2 Water St Terminal Via North_East,Monday_12,-19.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,13,918,926,8,0.01,931,5,0.01,51,2,264,528,2 Water St Terminal Via North_East,Monday_13,10.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,14,892,911,19,0.02,962,51,0.06,53,4,267,1068,2 Water St Terminal Via North_East,Monday_14,51.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,15,872,881,9,0.01,912,31,0.04,-2,3,223,669,2 Water St Terminal Via North_East,Monday_15,53.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,16,628,628,0,0.0,813,185,0.29,566,11,351,3861,2 Water St Terminal Via North_East,Monday_16,-2.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,17,624,634,10,0.02,808,174,0.28,361,9,354,3186,2 Water St Terminal Via North_East,Monday_17,566.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,18,594,637,43,0.07,955,318,0.54,137,6,331,1986,2 Water St Terminal Via North_East,Monday_18,361.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,19,883,908,25,0.03,946,38,0.04,124,2,157,314,2 Water St Terminal Via North_East,Monday_19,137.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,20,907,948,41,0.05,1003,55,0.06,37,6,280,1680,2 Water St Terminal Via North_East,Monday_20,124.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,21,880,887,7,0.01,899,12,0.01,100,6,166,996,2 Water St Terminal Via North_East,Monday_21,37.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,22,924,965,41,0.04,966,1,0.0,78,4,169,676,2 Water St Terminal Via North_East,Monday_22,100.0
2-Fairview,East,Monday,Full service,2 Water St Terminal Via North,March,23,898,918,20,0.02,927,9,0.01,42,5,248,1240,2 Water St Terminal Via North_East,Monday_23,78.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,5,891,936,45,0.05,949,13,0.01,168,6,292,1752,2 Lacewood Terminal_East,Tuesday_5,124.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,6,882,917,35,0.04,919,2,0.0,96,5,161,805,2 Lacewood Terminal_East,Tuesday_6,168.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,7,586,631,45,0.08,821,190,0.32,513,5,231,1155,2 Lacewood Terminal_East,Tuesday_7,96.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,8,621,633,12,0.02,905,272,0.44,215,7,393,2751,2 Lacewood Terminal_East,Tuesday_8,513.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,9,627,644,17,0.03,801,157,0.25,422,6,408,2448,2 Lacewood Terminal_East,Tuesday_9,215.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,10,905,914,9,0.01,966,52,0.06,-10,2,207,414,2 Lacewood Terminal_East,Tuesday_10,422.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,11,904,947,43,0.05,992,45,0.05,130,3,188,564,2 Lacewood Terminal_East,Tuesday_11,-10.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,12,887,890,3,0.0,935,45,0.05,51,6,231,1386,2 Lacewood Terminal_East,Tuesday_12,130.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,13,872,884,12,0.01,893,9,0.01,24,2,292,584,2 Lacewood Terminal_East,Tuesday_13,51.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,14,876,882,6,0.01,942,60,0.07,123,6,254,1524,2 Lacewood Terminal_East,Tuesday_14,24.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,15,897,909,12,0.01,917,8,0.01,21,4,235,940,2 Lacewood Terminal_East,Tuesday_15,123.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,16,607,635,28,0.05,762,127,0.21,224,11,333,3663,2 Lacewood Terminal_East,Tuesday_16,21.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,17,611,613,2,0.0,838,225,0.37,163,5,346,1730,2 Lacewood Terminal_East,Tuesday_17,224.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,18,602,642,40,0.07,1038,396,0.66,344,5,265,1325,2 Lacewood Terminal_East,Tuesday_18,163.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,19,908,919,11,0.01,927,8,0.01,-41,6,202,1212,2 Lacewood Terminal_East,Tuesday_19,344.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,20,919,942,23,0.03,966,24,0.03,174,6,228,1368,2 Lacewood Terminal_East,Tuesday_20,-41.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,21,899,914,15,0.02,926,12,0.01,26,4,231,924,2 Lacewood Terminal_East,Tuesday_21,174.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,22,905,912,7,0.01,948,36,0.04,-17,2,243,486,2 Lacewood Terminal_East,Tuesday_22,26.0
2-Fairview,East,Tuesday,Full service,2 Lacewood Terminal,March,23,875,908,33,0.04,952,44,0.05,125,6,294,1764,2 Lacewood Terminal_East,Tuesday_23,-17.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,5,921,950,29,0.03,974,24,0.03,5,6,196,1176,2 Lacewood Terminal_East,Wednesday_5,125.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,6,921,962,41,0.04,1007,45,0.05,-18,4,170,680,2 Lacewood Terminal_East,Wednesday_6,5.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,7,584,605,21,0.04,851,246,0.42,264,11,313,3443,2 Lacewood Terminal_East,Wednesday_7,-18.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,8,580,772,192,0.33,1044,272,0.47,373,6,378,2268,2 Lacewood Terminal_East,Wednesday_8,264.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,9,580,595,15,0.03,916,321,0.55,256,6,306,1836,2 Lacewood Terminal_East,Wednesday_9,373.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,10,895,907,12,0.01,955,48,0.05,43,4,296,1184,2 Lacewood Terminal_East,Wednesday_10,256.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,11,896,930,34,0.04,977,47,0.05,18,3,263,789,2 Lacewood Terminal_East,Wednesday_11,43.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,12,875,891,16,0.02,910,19,0.02,106,2,230,460,2 Lacewood Terminal_East,Wednesday_12,18.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,13,875,909,34,0.04,927,18,0.02,9,4,169,676,2 Lacewood Terminal_East,Wednesday_13,106.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,14,920,946,26,0.03,988,42,0.05,-12,5,261,1305,2 Lacewood Terminal_East,Wednesday_14,9.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,15,882,917,35,0.04,971,54,0.06,70,3,162,486,2 Lacewood Terminal_East,Wednesday_15,-12.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,16,597,637,40,0.07,830,193,0.32,343,12,253,3036,2 Lacewood Terminal_East,Wednesday_16,70.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,17,577,589,12,0.02,909,320,0.55,366,5,313,1565,2 Lacewood Terminal_East,Wednesday_17,343.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,18,580,608,28,0.05,933,325,0.56,255,10,295,2950,2 Lacewood Terminal_East,Wednesday_18,366.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,19,917,947,30,0.03,984,37,0.04,130,5,228,1140,2 Lacewood Terminal_East,Wednesday_19,255.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,20,918,923,5,0.01,927,4,0.0,157,4,260,1040,2 Lacewood Terminal_East,Wednesday_20,130.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,21,912,950,38,0.04,975,25,0.03,123,6,153,918,2 Lacewood Terminal_East,Wednesday_21,157.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,22,905,906,1,0.0,962,56,0.06,45,4,208,832,2 Lacewood Terminal_East,Wednesday_22,123.0
2-Fairview,East,Wednesday,Full service,2 Lacewood Terminal,March,23,919,952,33,0.04,1009,57,0.06,-55,4,254,1016,2 Lacewood Terminal_East,Wednesday_23,45.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,5,905,930,25,0.03,982,52,0.06,156,5,267,1335,2 Lacewood Terminal_West,Thursday_5,29.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,6,875,903,28,0.03,925,22,0.03,-38,4,206,824,2 Lacewood Terminal_West,Thursday_6,156.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,7,608,610,2,0.0,810,200,0.33,178,5,447,2235,2 Lacewood Terminal_West,Thursday_7,-38.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,8,610,647,37,0.06,890,243,0.4,398,7,258,1806,2 Lacewood Terminal_West,Thursday_8,178.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,9,624,629,5,0.01,999,370,0.59,500,11,250,2750,2 Lacewood Terminal_West,Thursday_9,398.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,10,876,900,24,0.03,945,45,0.05,79,5,201,1005,2 Lacewood Terminal_West,Thursday_10,500.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,11,897,903,6,0.01,903,0,0.0,-14,3,296,888,2 Lacewood Terminal_West,Thursday_11,79.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,12,871,895,24,0.03,908,13,0.01,-9,2,264,528,2 Lacewood Terminal_West,Thursday_12,-14.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,13,894,907,13,0.01,918,11,0.01,-1,6,195,1170,2 Lacewood Terminal_West,Thursday_13,-9.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,14,930,969,39,0.04,1016,47,0.05,26,4,185,740,2 Lacewood Terminal_West,Thursday_14,-1.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,15,928,928,0,0.0,964,36,0.04,138,4,178,712,2 Lacewood Terminal_West,Thursday_15,26.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,16,601,610,9,0.01,776,166,0.28,345,11,249,2739,2 Lacewood Terminal_West,Thursday_16,138.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,17,573,603,30,0.05,776,173,0.3,188,6,424,2544,2 Lacewood Terminal_West,Thursday_17,345.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,18,578,602,24,0.04,811,209,0.36,384,11,292,3212,2 Lacewood Terminal_West,Thursday_18,188.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,19,889,909,20,0.02,962,53,0.06,157,4,173,692,2 Lacewood Terminal_West,Thursday_19,384.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,20,913,936,23,0.03,941,5,0.01,-48,4,196,784,2 Lacewood Terminal_West,Thursday_20,157.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,21,880,917,37,0.04,947,30,0.03,59,4,262,1048,2 Lacewood Terminal_West,Thursday_21,-48.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,22,922,937,15,0.02,944,7,0.01,-2,2,171,342,2 Lacewood Terminal_West,Thursday_22,59.0
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,March,23,870,873,3,0.0,920,47,0.05,46,5,271,1355,2 Lacewood Terminal_West,Thursday_23,-2.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,5,889,921,32,0.04,957,36,0.04,101,4,208,832,2 Water St Terminal Via North_East,Friday_5,42.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,6,924,949,25,0.03,1001,52,0.06,-44,6,257,1542,2 Water St Terminal Via North_East,Friday_6,101.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,7,613,620,7,0.01,914,294,0.48,419,12,426,5112,2 Water St Terminal Via North_East,Friday_7,-44.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,8,610,653,43,0.07,1008,355,0.58,344,10,331,3310,2 Water St Terminal Via North_East,Friday_8,419.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,9,600,614,14,0.02,794,180,0.3,346,11,348,3828,2 Water St Terminal Via North_East,Friday_9,344.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,10,918,941,23,0.03,995,54,0.06,46,3,184,552,2 Water St Terminal Via North_East,Friday_10,346.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,11,929,969,40,0.04,1026,57,0.06,135,2,228,456,2 Water St Terminal Via North_East,Friday_11,46.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,12,921,966,45,0.05,994,28,0.03,131,2,280,560,2 Water St Terminal Via North_East,Friday_12,135.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,13,898,905,7,0.01,957,52,0.06,-4,6,242,1452,2 Water St Terminal Via North_East,Friday_13,131.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,14,926,958,32,0.03,970,12,0.01,2,5,223,1115,2 Water St Terminal Via North_East,Friday_14,-4.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,15,892,932,40,0.04,959,27,0.03,109,2,260,520,2 Water St Terminal Via North_East,Friday_15,2.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,16,593,621,28,0.05,802,181,0.31,390,7,303,2121,2 Water St Terminal Via North_East,Friday_16,109.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,17,578,595,17,0.03,953,358,0.62,405,11,327,3597,2 Water St Terminal Via North_East,Friday_17,390.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,18,582,610,28,0.05,921,311,0.53,494,9,424,3816,2 Water St Terminal Via North_East,Friday_18,405.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,19,885,911,26,0.03,912,1,0.0,136,5,171,855,2 Water St Terminal Via North_East,Friday_19,494.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,20,905,906,1,0.0,933,27,0.03,-1,5,199,995,2 Water St Terminal Via North_East,Friday_20,136.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,21,872,882,10,0.01,923,41,0.05,108,6,277,1662,2 Water St Terminal Via North_East,Friday_21,-1.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,22,892,905,13,0.01,934,29,0.03,82,2,252,504,2 Water St Terminal Via North_East,Friday_22,108.0
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,March,23,917,957,40,0.04,999,42,0.05,46,6,224,1344,2 Water St Terminal Via North_East,Friday_23,82.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,5,1821,1831,10,0.01,1873,42,0.02,132,5,146,730,2 Lacewood Terminal_East,Saturday_5,-55.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,6,1770,1790,20,0.01,1791,1,0.0,139,5,165,825,2 Lacewood Terminal_East,Saturday_6,132.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,7,1773,1785,12,0.01,1840,55,0.03,0,4,145,580,2 Lacewood Terminal_East,Saturday_7,139.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,8,1778,1808,30,0.02,1835,27,0.02,125,5,100,500,2 Lacewood Terminal_East,Saturday_8,0.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,9,1770,1782,12,0.01,1807,25,0.01,75,4,135,540,2 Lacewood Terminal_East,Saturday_9,125.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,10,1795,1840,45,0.03,1898,58,0.03,4,6,117,702,2 Lacewood Terminal_East,Saturday_10,75.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,11,1788,1826,38,0.02,1844,18,0.01,129,5,140,700,2 Lacewood Terminal_East,Saturday_11,4.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,12,1812,1836,24,0.01,1884,48,0.03,161,5,114,570,2 Lacewood Terminal_East,Saturday_12,129.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,13,1780,1818,38,0.02,1866,48,0.03,135,3,158,474,2 Lacewood Terminal_East,Saturday_13,161.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,14,1803,1843,40,0.02,1865,22,0.01,115,3,103,309,2 Lacewood Terminal_East,Saturday_14,135.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,15,1788,1796,8,0.0,1801,5,0.0,170,3,100,300,2 Lacewood Terminal_East,Saturday_15,115.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,16,1826,1864,38,0.02,1889,25,0.01,122,5,102,510,2 Lacewood Terminal_East,Saturday_16,170.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,17,1818,1859,41,0.02,1868,9,0.0,24,3,166,498,2 Lacewood Terminal_East,Saturday_17,122.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,18,1806,1843,37,0.02,1884,41,0.02,-17,5,126,630,2 Lacewood Terminal_East,Saturday_18,24.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,19,1824,1847,23,0.01,1880,33,0.02,53,6,106,636,2 Lacewood Terminal_East,Saturday_19,-17.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,20,1801,1846,45,0.02,1906,60,0.03,178,4,93,372,2 Lacewood Terminal_East,Saturday_20,53.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,21,1816,1818,2,0.0,1867,49,0.03,174,6,132,792,2 Lacewood Terminal_East,Saturday_21,178.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,22,1827,1871,44,0.02,1908,37,0.02,17,2,94,188,2 Lacewood Terminal_East,Saturday_22,174.0
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,March,23,1811,1816,5,0.0,1859,43,0.02,-53,2,117,234,2 Lacewood Terminal_East,Saturday_23,17.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,5,1821,1857,36,0.02,1875,18,0.01,175,5,92,460,2 Lacewood Terminal_West,Sunday_5,46.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,6,1779,1786,7,0.0,1831,45,0.03,-25,3,136,408,2 Lacewood Terminal_West,Sunday_6,175.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,7,1812,1857,45,0.02,1858,1,0.0,-49,5,165,825,2 Lacewood Terminal_West,Sunday_7,-25.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,8,1786,1794,8,0.0,1794,0,0.0,120,4,90,360,2 Lacewood Terminal_West,Sunday_8,-49.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,9,1825,1832,7,0.0,1867,35,0.02,94,5,90,450,2 Lacewood Terminal_West,Sunday_9,120.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,10,1779,1800,21,0.01,1816,16,0.01,-15,5,115,575,2 Lacewood Terminal_West,Sunday_10,94.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,11,1786,1794,8,0.0,1818,24,0.01,-41,5,173,865,2 Lacewood Terminal_West,Sunday_11,-15.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,12,1823,1824,1,0.0,1874,50,0.03,40,3,137,411,2 Lacewood Terminal_West,Sunday_12,-41.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,13,1789,1807,18,0.01,1812,5,0.0,146,3,177,531,2 Lacewood Terminal_West,Sunday_13,40.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,14,1788,1805,17,0.01,1807,2,0.0,116,2,114,228,2 Lacewood Terminal_West,Sunday_14,146.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,15,1825,1856,31,0.02,1860,4,0.0,26,6,127,762,2 Lacewood Terminal_West,Sunday_15,116.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,16,1771,2605,834,0.47,2624,19,0.01,95,6,111,666,2 Lacewood Terminal_West,Sunday_16,26.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,17,1822,1852,30,0.02,1893,41,0.02,-42,5,135,675,2 Lacewood Terminal_West,Sunday_17,95.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,18,1825,1840,15,0.01,1846,6,0.0,140,4,145,580,2 Lacewood Terminal_West,Sunday_18,-42.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,19,1800,1962,162,0.09,1982,20,0.01,42,4,167,668,2 Lacewood Terminal_West,Sunday_19,140.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,20,1797,1817,20,0.01,1837,20,0.01,128,2,141,282,2 Lacewood Terminal_West,Sunday_20,42.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,21,1816,1830,14,0.01,1855,25,0.01,44,6,133,798,2 Lacewood Terminal_West,Sunday_21,128.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,22,1783,1800,17,0.01,1846,46,0.03,33,4,97,388,2 Lacewood Terminal_West,Sunday_22,44.0
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,March,23,1806,1851,45,0.02,1865,14,0.01,176,6,130,780,2 Lacewood Terminal_West,Sunday_23,33.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,5,930,970,40,0.04,1026,56,0.06,-20,3,171,513,2 Lacewood Terminal_East,Monday_5,-53.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,6,880,887,7,0.01,913,26,0.03,62,2,199,398,2 Lacewood Terminal_East,Monday_6,-20.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,7,574,586,12,0.02,809,223,0.39,302,9,277,2493,2 Lacewood Terminal_East,Monday_7,62.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,8,597,601,4,0.01,978,377,0.63,333,7,445,3115,2 Lacewood Terminal_East,Monday_8,302.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,9,613,647,34,0.06,1006,359,0.59,468,10,412,4120,2 Lacewood Terminal_East,Monday_9,333.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,10,907,952,45,0.05,962,10,0.01,103,4,198,792,2 Lacewood Terminal_East,Monday_10,468.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,11,898,924,26,0.03,965,41,0.05,104,2,225,450,2 Lacewood Terminal_East,Monday_11,103.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,12,883,924,41,0.05,982,58,0.07,159,2,224,448,2 Lacewood Terminal_East,Monday_12,104.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,13,920,956,36,0.04,1004,48,0.05,-4,2,193,386,2 Lacewood Terminal_East,Monday_13,159.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,14,911,945,34,0.04,975,30,0.03,42,3,208,624,2 Lacewood Terminal_East,Monday_14,-4.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,15,926,927,1,0.0,976,49,0.05,-36,5,175,875,2 Lacewood Terminal_East,Monday_15,42.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,16,618,620,2,0.0,945,325,0.53,190,6,397,2382,2 Lacewood Terminal_East,Monday_16,-36.0
2-Fairview,East,Monday,Full service,2 Lacewood Terminal,April,17,591,618,27,0.05,942,324,0.55,123,5,270,1350,2 Lacewood Terminal_East,Monday_17,190.0
