Route,Direction,Weekday,Service Day,Branch,Month,Hour,Average Headway,Actual Gap,Additional Time due to Missing Service,% Additional Time due to Missing Service,Waiting Time as Experienced,Additional Time due to Bunching,% Additional Time due to Bunching,Schedule Adherence,Dwell Time at Stops,Stops Served
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,11,15:25,16:08,0:43,5%,16:24,0:16,2%,2:51,0:02,220
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,12,14:31,15:03,0:32,4%,16:03,1:00,7%,0:09,0:06,283
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,13,14:59,15:19,0:20,2%,16:00,0:41,5%,0:01,0:04,245
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,14,15:14,15:41,0:27,3%,16:41,1:00,7%,0:41,0:02,234
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,15,14:48,14:56,0:08,1%,15:36,0:40,5%,1:27,0:06,300
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,16,9:30,10:02,0:32,6%,12:10,2:08,22%,10:00,0:06,225
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,17,9:52,9:52,0:00,0%,13:04,3:12,32%,2:56,0:12,237
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,18,10:23,10:39,0:16,3%,16:54,6:15,60%,9:26,0:11,444
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,19,14:56,15:16,0:20,2%,15:40,0:24,3%,1:11,0:03,160
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,20,15:16,15:26,0:10,1%,15:27,0:01,0%,-0:41,0:04,226
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,21,15:02,15:16,0:14,2%,16:01,0:45,5%,0:38,0:05,177
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,22,15:03,15:45,0:42,5%,16:03,0:18,2%,2:28,0:02,282
2-Fairview,East,Friday,Full service,2 Water St Terminal Via North,May,23,14:44,15:01,0:17,2%,15:25,0:24,3%,2:04,0:05,172
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,5,29:49,32:26,2:37,9%,32:37,0:11,1%,2:41,0:06,172
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,6,29:31,29:45,0:14,1%,30:34,0:49,3%,-0:49,0:03,134
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,7,30:14,30:29,0:15,1%,30:31,0:02,0%,-0:18,0:06,113
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,8,30:08,30:20,0:12,1%,30:53,0:33,2%,-0:52,0:04,116
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,9,30:26,30:41,0:15,1%,31:24,0:43,2%,2:31,0:06,137
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,10,30:12,30:51,0:39,2%,31:44,0:53,3%,0:54,0:03,114
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,11,30:01,32:00,1:59,7%,32:43,0:43,2%,2:29,0:05,102
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,12,29:44,30:11,0:27,2%,30:17,0:06,0%,0:56,0:05,106
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,13,30:12,30:34,0:22,1%,31:27,0:53,3%,2:55,0:03,164
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,14,30:14,30:28,0:14,1%,31:17,0:49,3%,-0:23,0:03,130
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,15,30:18,30:50,0:32,2%,31:39,0:49,3%,1:21,0:02,174
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,16,30:00,30:09,0:09,0%,30:53,0:44,2%,-0:56,0:03,90
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,17,29:56,30:23,0:27,2%,30:57,0:34,2%,0:28,0:06,154
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,18,29:50,30:31,0:41,2%,31:09,0:38,2%,-0:46,0:02,121
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,19,29:42,30:24,0:42,2%,30:32,0:08,0%,-0:07,0:03,126
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,20,30:20,30:39,0:19,1%,30:59,0:20,1%,-0:20,0:06,170
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,21,29:46,30:31,0:45,3%,30:57,0:26,1%,1:51,0:05,109
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,22,29:59,39:01,9:02,30%,39:14,0:13,1%,-0:58,0:03,107
2-Fairview,East,Saturday,Reduced service,2 Lacewood Terminal,May,23,30:24,30:42,0:18,1%,31:02,0:20,1%,-0:58,0:06,90
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,5,29:53,29:56,0:03,0%,30:45,0:49,3%,2:03,0:02,151
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,6,30:29,30:55,0:26,1%,31:23,0:28,2%,0:47,0:04,179
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,7,30:07,30:33,0:26,1%,31:08,0:35,2%,1:18,0:06,104
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,8,30:04,30:32,0:28,2%,31:32,1:00,3%,0:17,0:03,97
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,9,30:09,30:20,0:11,1%,30:45,0:25,1%,0:05,0:02,163
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,10,29:47,29:53,0:06,0%,29:53,0:00,0%,0:15,0:04,115
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,11,29:49,30:07,0:18,1%,30:42,0:35,2%,-0:24,0:05,150
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,12,29:34,29:51,0:17,1%,30:28,0:37,2%,2:57,0:06,106
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,13,30:12,30:47,0:35,2%,31:11,0:24,1%,0:27,0:03,165
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,14,29:57,30:03,0:06,0%,30:12,0:09,1%,-0:14,0:05,135
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,15,30:08,30:42,0:34,2%,30:44,0:02,0%,1:15,0:02,124
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,16,29:49,30:28,0:39,2%,30:36,0:08,0%,1:49,0:04,168
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,17,29:46,29:55,0:09,1%,30:35,0:40,2%,2:01,0:04,109
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,18,30:01,30:41,0:40,2%,30:54,0:13,1%,0:56,0:02,178
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,19,29:46,29:55,0:09,1%,30:32,0:37,2%,0:52,0:06,90
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,20,29:45,29:49,0:04,0%,30:45,0:56,3%,-0:51,0:03,112
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,21,29:33,30:10,0:37,2%,30:40,0:30,2%,-0:27,0:04,163
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,22,30:09,39:08,8:59,30%,39:49,0:41,2%,1:07,0:02,124
2-Fairview,West,Sunday,Reduced service,2 Lacewood Terminal,May,23,30:24,30:53,0:29,2%,31:31,0:38,2%,2:54,0:02,108
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,5,15:23,15:45,0:22,2%,16:01,0:16,2%,-0:41,0:05,209
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,6,15:01,15:44,0:43,5%,15:48,0:04,0%,-0:09,0:06,268
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,7,9:56,10:41,0:45,8%,14:46,4:05,41%,5:01,0:09,225
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,8,9:55,9:59,0:04,1%,14:33,4:34,46%,6:32,0:10,352
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,9,9:53,10:34,0:41,7%,13:42,3:08,32%,6:31,0:08,439
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,10,15:01,15:07,0:06,1%,15:34,0:27,3%,2:59,0:02,163
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,11,14:32,15:11,0:39,4%,15:28,0:17,2%,-0:53,0:03,272
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,12,14:41,14:59,0:18,2%,15:58,0:59,7%,2:21,0:05,172
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,13,15:29,15:55,0:26,3%,16:18,0:23,2%,1:39,0:03,180
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,14,15:14,15:55,0:41,4%,16:22,0:27,3%,1:30,0:06,194
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,15,15:04,15:31,0:27,3%,16:20,0:49,5%,2:47,0:06,174
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,16,10:29,11:05,0:36,6%,16:40,5:35,53%,6:55,0:07,292
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,17,9:34,10:13,0:39,7%,15:09,4:56,52%,8:14,0:07,342
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,18,9:54,10:07,0:13,2%,16:09,6:02,61%,4:37,0:12,348
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,19,15:18,15:48,0:30,3%,16:01,0:13,1%,2:06,0:05,188
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,20,14:50,14:57,0:07,1%,15:17,0:20,2%,0:14,0:02,293
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,21,14:34,14:39,0:05,1%,15:29,0:50,6%,0:13,0:02,290
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,22,15:13,15:29,0:16,2%,16:20,0:51,6%,0:31,0:03,262
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,June,23,14:47,14:51,0:04,0%,15:43,0:52,6%,0:48,0:04,286
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,5,14:57,15:24,0:27,3%,15:51,0:27,3%,1:12,0:03,256
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,6,15:21,15:25,0:04,0%,15:42,0:17,2%,-0:14,0:06,259
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,7,10:18,10:32,0:14,2%,14:09,3:37,35%,6:24,0:11,448
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,8,9:34,10:15,0:41,7%,15:53,5:38,59%,6:53,0:05,423
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,9,10:26,10:48,0:22,4%,15:01,4:13,40%,4:45,0:07,387
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,10,15:30,15:37,0:07,1%,16:30,0:53,6%,-0:54,0:04,247
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,11,15:15,15:59,0:44,5%,16:49,0:50,5%,-0:17,0:02,246
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,12,14:35,15:20,0:45,5%,15:33,0:13,1%,0:49,0:05,290
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,13,14:57,15:14,0:17,2%,15:57,0:43,5%,-0:05,0:02,257
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,14,14:38,15:13,0:35,4%,15:41,0:28,3%,2:55,0:03,225
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,15,15:28,16:13,0:45,5%,16:47,0:34,4%,0:50,0:06,288
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,16,10:28,10:35,0:07,1%,16:50,6:15,60%,4:43,0:11,279
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,17,10:16,17:53,7:37,74%,23:19,5:26,53%,7:17,0:10,394
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,18,9:39,10:08,0:29,5%,12:36,2:28,26%,9:20,0:12,292
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,19,14:46,23:51,9:05,62%,23:55,0:04,0%,-0:28,0:03,158
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,20,14:30,14:39,0:09,1%,15:33,0:54,6%,1:22,0:03,205
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,21,15:14,15:28,0:14,2%,16:03,0:35,4%,2:55,0:04,163
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,22,15:19,15:25,0:06,1%,15:46,0:21,2%,0:04,0:05,164
2-Fairview,West,Tuesday,Full service,2 Lacewood Terminal,June,23,14:56,15:33,0:37,4%,15:35,0:02,0%,2:57,0:06,242
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,5,14:30,14:38,0:08,1%,14:54,0:16,2%,0:06,0:05,176
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,6,14:36,14:52,0:16,2%,14:58,0:06,1%,-0:12,0:03,199
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,7,9:45,10:05,0:20,3%,14:39,4:34,47%,7:39,0:08,268
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,8,9:54,10:38,0:44,7%,15:04,4:26,45%,6:25,0:05,441
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,9,10:05,10:25,0:20,3%,16:30,6:05,60%,5:55,0:10,450
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,10,15:04,15:30,0:26,3%,16:19,0:49,5%,0:13,0:05,245
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,11,15:15,15:23,0:08,1%,15:24,0:01,0%,1:22,0:06,220
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,12,14:41,14:47,0:06,1%,15:15,0:28,3%,2:47,0:02,196
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,13,14:33,14:37,0:04,0%,14:48,0:11,1%,2:26,0:05,281
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,14,14:46,15:03,0:17,2%,16:02,0:59,7%,2:58,0:06,166
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,15,15:12,15:48,0:36,4%,16:36,0:48,5%,0:10,0:03,294
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,16,9:42,9:51,0:09,2%,14:24,4:33,47%,8:26,0:10,417
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,17,9:32,9:53,0:21,4%,15:53,6:00,63%,5:01,0:05,406
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,18,9:41,10:18,0:37,6%,14:31,4:13,44%,4:58,0:06,282
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,19,14:42,14:52,0:10,1%,14:56,0:04,0%,-0:03,0:06,280
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,20,15:11,15:23,0:12,1%,16:22,0:59,6%,0:48,0:03,279
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,21,15:09,15:42,0:33,4%,15:50,0:08,1%,1:14,0:03,191
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,22,15:26,15:26,0:00,0%,15:30,0:04,0%,0:16,0:06,211
2-Fairview,West,Wednesday,Full service,2 Water St Terminal Via North,June,23,15:13,15:46,0:33,4%,16:14,0:28,3%,-0:28,0:06,282
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,5,14:44,14:50,0:06,1%,15:05,0:15,2%,2:08,0:03,299
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,6,15:30,15:57,0:27,3%,16:21,0:24,3%,1:27,0:03,249
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,7,10:20,10:58,0:38,6%,13:26,2:28,24%,5:56,0:09,396
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,8,10:27,11:05,0:38,6%,14:37,3:32,34%,5:59,0:10,400
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,9,10:04,10:04,0:00,0%,13:02,2:58,29%,3:10,0:05,369
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,10,15:26,16:10,0:44,5%,16:51,0:41,4%,1:19,0:04,168
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,11,15:24,15:51,0:27,3%,16:48,0:57,6%,1:55,0:02,281
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,12,15:00,15:33,0:33,4%,16:08,0:35,4%,2:38,0:06,292
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,13,14:54,15:00,0:06,1%,15:45,0:45,5%,0:28,0:06,282
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,14,15:00,15:00,0:00,0%,15:57,0:57,6%,2:28,0:05,190
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,15,14:55,15:38,0:43,5%,16:03,0:25,3%,0:16,0:05,173
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,16,10:27,11:00,0:33,5%,14:35,3:35,34%,2:18,0:06,297
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,17,10:23,11:08,0:45,7%,14:30,3:22,32%,8:13,0:08,298
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,18,10:20,10:31,0:11,2%,15:09,4:38,45%,7:01,0:10,349
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,19,14:37,15:17,0:40,5%,16:15,0:58,7%,2:05,0:04,217
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,20,14:30,14:48,0:18,2%,15:29,0:41,5%,2:31,0:06,269
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,21,15:07,15:28,0:21,2%,15:44,0:16,2%,0:36,0:04,204
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,22,14:53,15:06,0:13,1%,15:16,0:10,1%,1:51,0:05,273
2-Fairview,West,Thursday,Full service,2 Lacewood Terminal,June,23,14:50,15:31,0:41,5%,15:59,0:28,3%,1:11,0:06,247
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,5,14:53,15:34,0:41,5%,16:06,0:32,4%,0:35,0:06,234
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,6,15:05,15:37,0:32,4%,16:31,0:54,6%,-0:42,0:02,262
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,7,10:04,10:28,0:24,4%,14:22,3:54,39%,4:51,0:08,355
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,8,10:18,11:01,0:43,7%,13:46,2:45,27%,4:44,0:09,264
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,9,9:41,9:59,0:18,3%,13:25,3:26,35%,8:19,0:08,324
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,10,14:32,15:12,0:40,5%,15:24,0:12,1%,1:16,0:03,251
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,11,15:29,16:01,0:32,3%,16:11,0:10,1%,0:36,0:02,159
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,12,14:30,14:56,0:26,3%,15:08,0:12,1%,0:58,0:05,214
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,13,15:28,16:12,0:44,5%,16:27,0:15,2%,0:47,0:03,219
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,14,15:26,15:59,0:33,4%,16:41,0:42,5%,0:39,0:03,278
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,15,15:23,15:36,0:13,1%,16:30,0:54,6%,-0:59,0:06,167
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,16,9:40,10:11,0:31,5%,13:01,2:50,29%,2:25,0:07,325
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,17,9:37,16:32,6:55,72%,19:23,2:51,30%,9:08,0:11,417
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,18,10:15,10:57,0:42,7%,17:04,6:07,60%,4:18,0:09,385
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,19,15:25,16:10,0:45,5%,17:09,0:59,6%,0:11,0:02,224
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,20,14:32,15:00,0:28,3%,15:55,0:55,6%,2:38,0:06,271
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,21,14:50,15:24,0:34,4%,15:56,0:32,4%,0:39,0:06,218
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,22,14:34,15:14,0:40,5%,15:31,0:17,2%,2:25,0:03,240
2-Fairview,West,Friday,Full service,2 Water St Terminal Via North,June,23,15:00,15:01,0:01,0%,15:05,0:04,0%,-0:49,0:05,223
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,5,30:16,30:26,0:10,1%,30:59,0:33,2%,0:17,0:04,140
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,6,30:28,30:37,0:09,0%,31:21,0:44,2%,2:18,0:03,138
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,7,30:24,30:42,0:18,1%,31:16,0:34,2%,-0:30,0:04,142
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,8,30:09,30:18,0:09,0%,31:14,0:56,3%,0:16,0:04,143
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,9,30:13,30:48,0:35,2%,31:35,0:47,3%,0:08,0:02,144
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,10,30:22,30:25,0:03,0%,30:32,0:07,0%,2:00,0:05,169
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,11,29:32,30:17,0:45,3%,31:16,0:59,3%,2:56,0:02,110
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,12,30:24,30:57,0:33,2%,31:03,0:06,0%,1:41,0:03,163
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,13,29:59,30:26,0:27,2%,30:59,0:33,2%,-0:43,0:03,106
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,14,29:46,30:01,0:15,1%,30:57,0:56,3%,2:03,0:06,133
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,15,30:04,30:04,0:00,0%,30:08,0:04,0%,-0:19,0:02,154
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,16,29:32,30:08,0:36,2%,31:02,0:54,3%,0:24,0:05,97
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,17,30:11,30:22,0:11,1%,30:23,0:01,0%,-0:45,0:06,164
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,18,30:21,30:54,0:33,2%,31:39,0:45,2%,-0:54,0:04,111
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,19,30:14,30:55,0:41,2%,31:01,0:06,0%,-0:03,0:04,145
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,20,30:05,30:36,0:31,2%,31:20,0:44,2%,-0:23,0:02,164
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,21,29:55,30:35,0:40,2%,31:22,0:47,3%,1:27,0:04,133
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,22,29:32,29:49,0:17,1%,30:16,0:27,2%,2:14,0:05,120
2-Fairview,East,Saturday,Reduced service,2 Water St Terminal Via North,June,23,30:12,30:57,0:45,2%,31:34,0:37,2%,-0:48,0:06,106
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,5,29:53,30:35,0:42,2%,31:19,0:44,2%,1:42,0:05,124
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,6,30:16,30:24,0:08,0%,31:04,0:40,2%,2:20,0:06,155
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,7,30:23,44:03,13:40,45%,44:58,0:55,3%,0:17,0:05,127
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,8,29:35,29:56,0:21,1%,30:45,0:49,3%,0:02,0:06,168
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,9,29:42,29:55,0:13,1%,30:07,0:12,1%,0:10,0:05,130
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,10,30:01,30:14,0:13,1%,30:20,0:06,0%,2:48,0:03,170
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,11,29:56,30:39,0:43,2%,31:09,0:30,2%,-0:48,0:02,151
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,12,30:26,30:35,0:09,0%,31:12,0:37,2%,0:30,0:06,133
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,13,29:35,29:56,0:21,1%,30:11,0:15,1%,0:34,0:04,103
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,14,30:25,30:55,0:30,2%,31:38,0:43,2%,1:54,0:04,160
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,15,30:22,30:39,0:17,1%,31:26,0:47,3%,0:55,0:06,168
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,16,30:23,31:07,0:44,2%,32:06,0:59,3%,1:55,0:06,142
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,17,30:29,30:31,0:02,0%,31:06,0:35,2%,1:49,0:04,131
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,18,30:22,31:00,0:38,2%,31:08,0:08,0%,2:03,0:03,111
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,19,29:35,30:15,0:40,2%,30:59,0:44,2%,-0:05,0:03,132
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,20,30:30,31:06,0:36,2%,31:30,0:24,1%,2:44,0:06,152
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,21,29:51,30:09,0:18,1%,30:36,0:27,2%,-0:36,0:06,171
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,22,29:37,30:19,0:42,2%,31:11,0:52,3%,2:27,0:03,123
2-Fairview,East,Sunday,Reduced service,2 Water St Terminal Via North,June,23,30:18,42:55,12:37,42%,43:45,0:50,3%,1:51,0:04,109
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,July,5,14:47,15:09,0:22,2%,16:06,0:57,6%,0:43,0:06,271
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,July,6,15:03,15:26,0:23,3%,15:34,0:08,1%,2:10,0:05,292
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,July,7,9:42,9:47,0:05,1%,14:43,4:56,51%,5:55,0:08,388
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,July,8,10:03,10:46,0:43,7%,17:13,6:27,64%,2:25,0:09,361
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,July,9,9:38,9:45,0:07,1%,14:43,4:58,52%,10:00,0:08,360
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,July,10,14:48,15:22,0:34,4%,15:41,0:19,2%,-0:57,0:02,173
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,July,11,15:21,15:22,0:01,0%,16:09,0:47,5%,-0:54,0:03,202
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,July,12,14:56,14:58,0:02,0%,15:44,0:46,5%,0:35,0:03,282
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,July,13,15:03,15:11,0:08,1%,15:39,0:28,3%,2:45,0:05,236
2-Fairview,West,Monday,Full service,2 Lacewood Terminal,July,14,14:55,15:17,0:22,2%,16:03,0:46,5%,1:03,0:02,216
